Expiry,a,b,rho,m,sigma
0.0246575342,0.0003338194,0.0060813897,-0.9900000000,-0.0060362356,0.0229317430
0.1013698630,0.0012693194,0.0156403352,-0.9899139719,-0.0086030979,0.0510994882
0.1780821918,0.0013893837,0.0244748007,-0.7981349324,0.0035357673,0.0822517946
0.3506849315,0.0017746151,0.0422753237,-0.7069823332,0.0151541215,0.1164789204
0.6000000000,0.0017004950,0.0659104720,-0.7141722014,0.0132192197,0.1649187801
0.8493150685,0.0054144364,0.0704449968,-0.6930392325,0.0431284669,0.1707298971
1.0986301370,0.0026143031,0.0877553090,-0.7499050306,0.0261778333,0.2440554291
1.3479452055,0.0087124689,0.0889452995,-0.7679828736,0.0483748946,0.2279869194
1.5972602740,0.0097334532,0.1161857794,-0.3437656426,0.1085885615,0.2066262264
1.8465753425,0.0101274180,0.1184308331,-0.3870215834,0.1213463641,0.2622907877
2.8438356164,0.0083973276,0.2082978321,-0.4789889116,0.0502228747,0.3134314234
3.8410958904,0.0149092170,0.2666133876,-0.4472596835,0.0587410650,0.3191132488
4.8575342466,0.0240768598,0.2787488310,-0.4116242723,0.1057290749,0.3605109405
